Age,Number,Percent
   .Under 5 years,19736,6.1
   .5 to 9 years,20212,6.2
   .10 to 14 years,20827,6.4
   .15 to 19 years,20849,6.4
   .20 to 24 years,21254,6.6
   .25 to 29 years,23277,7.2
   .30 to 34 years,21932,6.8
   .35 to 39 years,21443,6.6
   .40 to 44 years,19584,6.0
   .45 to 49 years,20345,6.3
   .50 to 54 years,20355,6.3
   .55 to 59 years,21163,6.5
   .60 to 64 years,20592,6.3
   .65 to 69 years,17356,5.4
   .70 to 74 years,14131,4.4
   .75 to 79 years,9357,2.9
   .80 to 84 years,6050,1.9
   .85 years and over,5893,1.8
All ages,324356,100.0
