Data_as_of,Start_week,End_Week,State,Sex,Age_group,COVID_19_Deaths,Total_Deaths,Pneumonia_Deaths,Pneumonia_and_COVID_19_Deaths,Influenza_Deaths,Pneumonia_Influenza_or_COVID_19_Deaths
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,Under 1 year,29,14843,139,4,15,179
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,1-4 years,16,2768,91,2,42,147
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,5-14 years,44,4453,120,7,53,210
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,15-24 years,439,28554,576,154,55,912
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,25-34 years,1852,58354,2047,821,154,3217
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,35-44 years,4771,82459,4610,2112,251,7490
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,45-54 years,12701,150178,12042,6004,593,19223
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,55-64 years,30875,344229,32479,15295,1263,49099
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,65-74 years,53579,523408,55835,26534,1492,84118
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,75-84 years,67305,637516,68697,31766,1516,105532
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,85 years and over,77959,788452,72512,31244,1418,120461
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,All Ages,249570,2635214,249148,113943,6852,390588
12/02/2020,02/01/2020,11/28/2020,United States,All Sexes,0-17 years,127,26333,407,20,123,637
