,,,,,,,
Country,"Total
Cases","Total
Deaths","Tot Cases/
1M pop",Deaths/1M pop,"Total
Tests","Tests/
1M pop",Population
World,"18,013,236","688,722","2,311",88.4,0,0,0
USA,"4,764,318","157,898","14,386",477,"59,226,909","178,841","331,171,664"
Brazil,"2,708,876","93,616","12,736",440,"13,096,132","61,574","212,690,082"
Mexico,"434,193","47,472","3,365",368,"999,697","7,747","129,047,665"
UK,"303,952","46,193","4,475",680,"16,280,223","239,707","67,917,167"
India,"1,751,919","37,403","1,268",27,"19,358,659","14,016","1,381,159,795"
Italy,"247,832","35,146","4,100",581,"6,873,496","113,698","60,453,777"
France,"187,919","30,265","2,878",464,"2,982,302","45,680","65,286,338"
Spain,"335,602","28,445","7,178",608,"6,678,414","142,834","46,756,402"
Peru,"414,735","19,217","12,564",582,"2,348,396","71,142","33,010,043"
Iran,"306,752","16,982","3,648",202,"2,482,553","29,525","84,082,937"
Russia,"845,443","14,058","5,793",96,"28,478,012","195,135","145,940,072"
Colombia,"306,181","10,330","6,012",203,"1,609,729","31,607","50,928,858"
Belgium,"69,402","9,845","5,986",849,"1,670,785","144,107","11,594,051"
Chile,"357,658","9,533","18,696",498,"1,648,390","86,167","19,130,274"
Germany,"211,077","9,226","2,519",110,"8,006,135","95,530","83,807,610"
Canada,"116,599","8,941","3,087",237,"4,098,752","108,517","37,770,506"
South Africa,"503,290","8,153","8,477",137,"3,001,985","50,563","59,371,352"
Netherlands,"54,732","6,148","3,194",359,"962,965","56,188","17,138,239"
Pakistan,"278,305","5,951","1,258",27,"1,973,237","8,919","221,237,160"
Sweden,"80,422","5,743","7,959",568,"810,356","80,196","10,104,737"
Ecuador,"86,232","5,736","4,881",325,"246,028","13,927","17,665,162"
Turkey,"231,869","5,710","2,747",68,"4,845,669","57,402","84,415,940"
Indonesia,"109,936","5,193",402,19,"1,517,381","5,543","273,768,876"
Egypt,"94,316","4,834",920,47,"135,000","1,317","102,490,117"
Iraq,"126,704","4,805","3,145",119,"1,014,760","25,184","40,293,665"
